   0 (   0): StationSensorRange
   1 (   1): HomeStation
   2 (   2): Mission
   3 (   3): PlayerFactionIndex
   4 (   4): Debug
   5 (   5): Player
   6 (   6): Objective
   7 (   7): PlayerShip
   8 (   8): CameraDepth
   9 (   9): TradeRouteYScale
  10 (   A): TimeScale
  11 (   B): TrailerMode
  12 (   C): CaptureCursorMode
  13 (   D): ViewScaling
  14 (   E): GameWidth
  15 (   F): GameHeight
  16 (  10): ScreenWidth
  17 (  11): ScreenHeight
  18 (  12): AutoZoomEnabled
  19 (  13): PauseInBackgroundMode
  20 (  14): WindowedMode
  21 (  15): AltSync
  22 (  16): FastVertexBufferMode
  23 (  17): SpecialChallengeFolder
  24 (  18): SaveFileExtension
  25 (  19): NormalChallengeFolder
  26 (  1A): CurrentDefectorStation
  27 (  1B): CurrentDefectorFilename
  28 (  1C): CurrentDefectorID
  29 (  1D): EncodeSaves
  30 (  1E): StationCharacterSeats
  31 (  1F): DesiredSecondsBetweenLiberations
  32 (  20): LastDailyChallenge
  33 (  21): CurrencyMultiplier
  34 (  22): Economy
  35 (  23): CapturedAgent
  36 (  24): NPCDialogSeat
  37 (  25): CharacterSeats
  38 (  26): GloryLeaderboard
  39 (  27): Gold
  40 (  28): UnselectedColour
  41 (  29): SteamEnabled
  42 (  2A): UniqueItemCount
  43 (  2B): UniqueItemsInUse
  44 (  2C): GloryColour
  45 (  2D): AppealingGreen
  46 (  2E): RareShipmentType
  47 (  2F): RareShipmentOwnerName
  48 (  30): EnemyFactionCount
  49 (  31): MaxAmmo
  50 (  32): LogExtra
  51 (  33): ForenameCount
  52 (  34): Forenames
  53 (  35): SurnameCount
  54 (  36): Surnames
  55 (  37): DisabledColour
  56 (  38): StashPink
  57 (  39): PersonalItemColour
  58 (  3A): DeveloperMode
  59 (  3B): SaveFileVersion
  60 (  3C): CharacterTraitTypes
  61 (  3D): LiberationColour
  62 (  3E): DailyChallengeColour
  63 (  3F): DisabledRed
  64 (  40): PaleFriendlyBlue
  65 (  41): CharacterTraitNames
  66 (  42): CharacterTraitDescriptions
  67 (  43): StationsNeededForDifficulty
  68 (  44): StationsNeededForMissionType
  69 (  45): CharacterTraitChallengeScores
  70 (  46): MaxGloryModifier
  71 (  47): LuckyTraitRarityChanceMultiplier
  72 (  48): CompatibilityMode
  73 (  49): GuardRoleNames
  74 (  4A): GamepadEnabled
  75 (  4B): ControlList
  76 (  4C): ShipCrewDepth
  77 (  4D): NormalItemPickUpRange
  78 (  4E): LastDailyChallengeSubmitted
  79 (  4F): DailyChallengeSubmittedStreak
  80 (  50): DailyChallengeEnabled
  81 (  51): DailyChallengeHourOffset
  82 (  52): DailyChallengeMissionCount
  83 (  53): DailyChallengeMissionScores
  84 (  54): DailyChallengeLeaderboardVersion
  85 (  55): DailyChallengeKillPenalty
  86 (  56): DailyChallengeHarmPenalty
  87 (  57): DailyChallengeSeenPenalty
  88 (  58): DailyChallengeAlarmPenalty
  89 (  59): DailyChallengeTimePenalty
  90 (  5A): MaxDailyChallengeTimeBonus
  91 (  5B): LastDailyChallengeWin
  92 (  5C): DailyChallengeWinStreak
  93 (  5D): LastDailyChallengeScore
  94 (  5E): MaxPossibleDailyChallengeScore
  95 (  5F): DailyChallengeMissionDifficulties
  96 (  60): DailyChallengeEasyMissionDifficulties
  97 (  61): DailyChallengeDefaultScore
  98 (  62): DailyChallengeDebugSeedOffset
  99 (  63): DeactivatedInstances
 100 (  64): CollisionSensor
 101 (  65): CrashedOnce
 102 (  66): PatchVersion
 103 (  67): LogToDisk
 104 (  68): AmmoTypeCount
 105 (  69): LogFilename
 106 (  6A): LogLineCount
 107 (  6B): LogLineIndex
 108 (  6C): LogLineMaxCount
 109 (  6D): LogLines
 110 (  6E): EngineVersion
 111 (  6F): BuildMode
 112 (  70): GalaxyVersion
 113 (  71): DialogHistory
 114 (  72): DialogHeader
 115 (  73): DialogHeaderBlock
 116 (  74): DialogData
 117 (  75): DialogSpeakerName
 118 (  76): DialogPortrait
 119 (  77): DialogName
 120 (  78): DialogOptionColour
 121 (  79): DoorOpenDepth
 122 (  7A): DoorClosedDepth
 123 (  7B): Factions
 124 (  7C): WindowParticleDepth
 125 (  7D): ShadersEnabled
 126 (  7E): ScratchList
 127 (  7F): GodMode
 128 (  80): CorpseDepth
 129 (  81): JammerSpacingMax
 130 (  82): JammerSpacingMin
 131 (  83): KitNames
 132 (  84): KnockoutMomentum
 133 (  85): MomentumToTriggerGun
 134 (  86): MercenaryNames
 135 (  87): ScratchHeap
 136 (  88): MercenaryString
 137 (  89): JammerDeviceRange
 138 (  8A): OffsetCount
 139 (  8B): OffsetArray
 140 (  8C): GhostMode
 141 (  8D): FactionCount
 142 (  8E): HighVisibility
 143 (  8F): FactionSpriteMap
 144 (  90): FactionNames
 145 (  91): GlitchersFactionIndex
 146 (  92): FoundryFactionIndex
 147 (  93): OffworldFactionIndex
 148 (  94): SovereignFactionIndex
 149 (  95): IndependentFactionIndex
 150 (  96): Fringes
 151 (  97): HomeStationName
 152 (  98): CenterX
 153 (  99): CenterY
 154 (  9A): VapourWakePool
 155 (  9B): GalaxyEditingMode
 156 (  9C): TradeRouteDepth
 157 (  9D): ClientNames
 158 (  9E): SpriteIndexes
 159 (  9F): SpriteIndexCount
 160 (  A0): TraitCount
 161 (  A1): TraitDefaultLockStatus
 162 (  A2): ObjectForTrait
 163 (  A3): Traits
 164 (  A4): DoorScrambleRange
 165 (  A5): Root2Over2
 166 (  A6): DiscountMultiplier
 167 (  A7): CreatedSprites
 168 (  A8): SoundVolume
 169 (  A9): GuardDropsShiplocked
